brand_name,title,price,price_discount,link,images
REVLON,Colorstay Two-Way Powder Foundation Refill,฿320,฿109,/product/detail/colorstay-two-way-powder-foundation-refill?product_id=309970148621&sku_id=309970148621,https://prodenbcdn.azureedge.net/products/309970148621/main/320/613991117317da5cd50fe888.webp
CEZANNE,BOGO Bundle UV Silk Cover Powder,,฿390,/product/detail/bogo-bundle-uv-silk-cover-powder?product_id=8859429802182&sku_id=8859429802182,https://prodenbcdn.azureedge.net/products/8859429802182/main/320/6033479512b1f511253ad825.webp
PERIPERA,Oil Capture Pact,฿430,฿379,/product/detail/oil-capture-pact?product_id=8809598290280&sku_id=8809598290280,https://prodenbcdn.azureedge.net/products/8809598290280/main/320/60361e12c6665c9376b6be0c.webp
CEZANNE,BOGO Bundle UV Silk Cover Powder,,฿390,/product/detail/bogo-bundle-uv-silk-cover-powder?product_id=8859429802199&sku_id=8859429802199,https://prodenbcdn.azureedge.net/products/8859429802199/main/320/603347aac6665ce188b37297.webp
REVLON,Colorstay Two-Way Powder Foundation,฿425,฿129,/product/detail/colorstay-two-way-powder-foundation?product_id=309970135386&sku_id=309970135386,https://prodenbcdn.azureedge.net/products/309970135386/main/320/611cf1e16b54cc1775c36e15.webp
IN2IT,Perfect Cover Matte Two Way Powder SPF25 PA+++,฿159,฿143.10,/product/detail/perfect-cover-matte-two-way-powder-spf25-pa---?product_id=8858000024753&sku_id=8858000024500,https://prodenbcdn.azureedge.net/products/8858000024500/main/320/606432c283d2cc2974376444.webp
AURA ME,Perfect Cover SPF30PA+++,,฿690,/product/detail/perfect-cover-spf30pa---?product_id=8859577700019&sku_id=8859577700026,https://prodenbcdn.azureedge.net/products/8859577700026/main/320/601d1e2e73330648b2eb90c0.webp
REVLON,Colorstay Two-Way Powder Foundation Refill,฿320,฿109,/product/detail/colorstay-two-way-powder-foundation-refill?product_id=309970148645&sku_id=309970148645,https://prodenbcdn.azureedge.net/products/309970148645/main/320/611cec97a9dd052aa60b5394.webp
REVLON,Colorstay Two-Way Powder Foundation,฿425,฿129,/product/detail/colorstay-two-way-powder-foundation?product_id=309970135393&sku_id=309970135393,https://prodenbcdn.azureedge.net/products/309970135393/main/320/613985719f68462fe5c876ca.webp
CEZANNE,UV Silk Cover Powder (Refill),,฿290,/product/detail/uv-silk-cover-powder--refill-?product_id=4939553041627&sku_id=4939553041610,https://prodenbcdn.azureedge.net/products/4939553041610/main/320/606410fa4fc04f0c2f63e7cd.webp
SIVANNA,HF689-Natural And Delicate Beauty Powder,฿299,฿149,/product/detail/hf689-natural-and-delicate-beauty-powder?product_id=8858994408836&sku_id=8858994408836,https://prodenbcdn.azureedge.net/products/8858994408836/main/320/612843d8216048e9aa28182b.webp
IN2IT,Foundation Powder,"฿2,800","฿2,520",/product/detail/foundation-powder?product_id=8858000022971&sku_id=8858928606475,https://prodenbcdn.azureedge.net/products/8858928606475/thumbnail_640_100.png
